road,id,model_type,name,lat,lon,length,condition,road_lrp,nearest_road,distance_to_nearest_road
N1,N1_34,link,Km post missing,23.6525278,90.5798882,0.3019999999999996,,N1LRP018,N105_0,5.406884603696018
N1,N1_35,bridge,DARIKANDI BRIDGE (R),23.6515705663716,90.5814943946902,0.1980000000000004,B,N1LRP018a,N105_0,5.59268499950306
N1,N1_36,bridge,Sonakhal Bridge(L),23.6497543993548,90.5845490085483,0.37099999999999866,A,N1LRP018c,N105_0,5.947331301662184
N1,N1_37,link,Km post missing,23.6476108,90.588083,0.43100000000000094,,N1LRP019,N105_0,6.363479721538297
N1,N1_38,bridge,MOLLIK PARA BRIDGE (R),23.6459685949152,90.5892119813559,0.21799999999999997,C,N1LRP019a,N105_0,6.576489219213665
N1,N1_39,link,Km post missing,23.6396941,90.5927219,0.782,,N1LRP020,N105_0,7.339210841502525
N1,N1_40,bridge,KRIBORDI BOX CULVERT,23.6379543715384,90.5936673976923,0.23600000000000065,A,N1LRP020a,N105_0,7.549672734483442
N1,N1_41,bridge,SHADIPUR BOX CULVERT,23.63380522,90.597394085,0.6369999999999969,B,N1LRP020b,N105_0,8.147145088201144
N1,N1_42,link,Km post missing,23.6330549,90.5982774,0.12700000000000244,,N1LRP021,N105_0,8.268746044474469
N1,N1_43,bridge,Marikhali Bridge(L),23.6284668507692,90.6023015723077,0.6600000000000001,A,N1LRP021c,N105_0,8.923164231528682
N1,N1_44,link,"Ctg 238 km,Comilla 71 km",23.6252216,90.6049722,0.4450000000000003,,N1LRP022,N105_0,9.374699872978606
N1,N1_45,bridge,SANGAKADI CULVERT,23.6198832229508,90.6083528852459,0.6989999999999981,B,N1LRP022a,N105_0,10.052726259908939
N1,N1_46,bridge,Ashariarchar Bridge(R),23.6176407964705,90.6095506105882,0.2680000000000007,B,N1LRP023b,N105_0,10.323786287237242
N1,N1_47,link,Km post missing,23.6173604,90.6096944,0.03300000000000125,,N1LRP023,N105_0,10.357326950470856
N1,N1_48,bridge,Ashariachar-2 Bridge.(L),23.613587384385,90.6109029561497,0.4519999999999982,A,N1LRP023c,N105_0,10.764045726793418
N1,N1_49,link,Km post missing,23.609,90.6124722,0.5480000000000018,,N1LRP024,N105_0,11.26768750441115
N1,N1_50,bridge,Meghna Bridge,23.6027595885583,90.6155316965675,0.7639999999999993,A,N1LRP024a,N105_0,12.011939893093027
N1,N1_51,link,Km post missing,23.6009444,90.6165556,0.23600000000000065,,N1LRP025,N105_0,12.236747749430927
N1,N1_52,link,Km post missing,23.5959997,90.624666,1.0,,N1LRP026,N105_0,13.16954185108446
N1,N1_53,bridge,TATULTALA CULVERT,23.5929818827893,90.6279699370919,0.4859999999999971,A,N1LRP026a,N105_0,13.64044845830079
N1,N1_54,bridge,BAILAKANDI CULVERT,23.5908088547468,90.6302368598101,0.3370000000000033,A,N1LRP026b,N105_0,13.972754040035792
N1,N1_55,link,Km post missing,23.5896108,90.6313882,0.1769999999999996,,N1LRP027,N105_0,14.149879962250914
N1,N1_56,bridge,MALUAKANDI CULVEDRT,23.58631812254,90.6345094207093,0.49099999999999966,A,N1LRP027a,N105_0,14.634051437896929
N1,N1_57,link,Km post missing,23.5828327,90.6378886,0.5090000000000003,,N1LRP028,N105_0,15.151329885791284
N1,N1_58,bridge,Bhater char Bridge (L),23.5779800248475,90.6419193089939,0.6859999999999999,A,N1LRP028b,N105_0,15.829452923508391
N1,N1_59,link,Information missing,23.5745271,90.6436941,0.44399999999999906,,N1LRP029,N105_0,16.243934093262556
N1,N1_60,bridge,Anarpara Bridge (L),23.5716306256965,90.6454159236842,0.37900000000000134,A,N1LRP029a,N105_0,16.606389554185306
N1,N1_61,link,Km post missing,23.5666111,90.6481663,0.6209999999999987,,N1LRP030,N105_0,17.22065514574418
N1,N1_62,bridge,VITIKANDA - ANAR PUR CULVERT,23.5660033956521,90.6486237247282,0.08299999999999841,A,N1LRP030a,N105_0,17.302685093484854
N1,N1_63,link,"Ctg 229 km,Comilla 62 km",23.5599722,90.6548056,0.9320000000000022,,N1LRP031,N105_0,18.217565421152845
N1,N1_64,bridge,Alipur bridge(R),23.5591910296296,90.6557475703703,0.13400000000000034,A,N1LRP031a,N105_0,18.344822003878065
N1,N1_65,bridge,Bhaber char Bridge(L),23.5557082901265,90.6597414245569,0.5640000000000001,A,N1LRP032b,N105_0,18.89975400798428
N1,N1_66,link,"Ctg 228 km,Comilla 61 km",23.5538056,90.6619722,0.31099999999999994,,N1LRP032,N105_0,19.20614168918436
N1,N1_67,bridge,Baushia Bridge(L),23.5517421907216,90.6643538752577,0.33800000000000097,A,N1LRP032e,N105_0,19.536213006240597
N1,N1_68,link,"Ctg 227 km,Comilla 60 km",23.5487497,90.6678327,0.4859999999999971,,N1LRP033,N105_0,20.01669685205273
N1,N1_69,bridge,PURRANBUICHE BOX CULVERT,23.5477377446428,90.6690554098214,0.1700000000000017,A,N1LRP033a,N105_0,20.182158063470382
N1,N1_70,bridge,NOYAPARA,23.5476246437499,90.669192065625,0.01899999999999835,A,N1LRP033b,N105_0,20.200653326753457
N1,N1_71,bridge,Madhya Baushia Bridge(L),23.54268543125,90.6748292125,0.7950000000000017,A,N1LRP034a,N105_0,20.987843213949557
N1,N1_72,link,Km post missing,23.542583,90.6749438,0.015999999999998238,,N1LRP034,N105_0,21.004027491774057
N1,N1_73,bridge,BOCTAR KANDI BOX CULVERT,23.5393910168,90.6784577888,0.5039999999999978,C,N1LRP034c,N105_0,21.504850171502394
N1,N1_74,link,Km post missing,23.5362497,90.681916,0.4960000000000022,,N1LRP035,N105_0,21.99788142509428
N1,N1_75,bridge,.,23.5327751898617,90.6858701078341,0.5739999999999981,A,N1LRP035a,N105_0,22.551650960709033
N1,N1_76,bridge,Baushia bazar Bridge( L ),23.5313996605222,90.68744892596,0.22700000000000387,A,N1LRP036a,N105_0,22.771808416614316
N1,N1_77,link,Km post missing,23.5301938,90.688833,0.19899999999999807,,N1LRP036,N105_0,22.964840304659692
N1,N1_78,bridge,CHAR BOUSHEA (2),23.5301519626506,90.6897951837349,0.10000000000000142,A,N1LRP036c,N105_0,23.030425206494208
N1,N1_79,link,Km post missing,23.5301382,90.6984997,0.8999999999999986,,N1LRP037,N105_0,23.60335053881331
N1,N1_80,bridge,Daudkandi Bridge.,23.5303844733,90.7024402743,0.4029999999999987,A,N1LRP037a,N105_0,23.84806322039738
N1,N1_81,link,Km post missing,23.5307493,90.7082778,0.5970000000000013,,N1LRP038,N105_0,24.218323003328365
N1,N1_82,link,Km post missing,23.5317216,90.7180271,1.0,,N1LRP039,N105_0,24.827560347890998
N1,N1_83,bridge,Baldhakhal Bridge,23.5324186,90.7242807234,0.6970000000000027,C,N1LRP040b,N105_0,25.22575332146876
N1,N1_84,link,Km post missing,23.5327216,90.7269993,0.30299999999999727,,N1LRP040,N105_0,25.40196567584177
N1,N1_85,bridge,MAIS PARA BOX CULVERT,23.5317587831999,90.7291780095,0.2530000000000001,B,N1LRP040c,N105_0,25.636638824880112
N1,N1_86,link,Km post missing,23.528916,90.7356108,0.7469999999999999,,N1LRP041,N105_0,26.330796698839773
N1,N1_87,link,Ctg 214 km,23.5289993,90.7419441,0.6540000000000035,,N1LRP042,N102_46,25.76159814176755
N1,N1_88,link,Km post broken,23.529416,90.75175,1.0079999999999956,,N1LRP043,N102_46,24.839144657338476
N1,N1_89,bridge,SHAHID NAGIR,23.5298050611,90.75825325,0.6670000000000016,C,N1LRP043a,N102_46,24.22519544068845
N1,N1_90,link,Km post Missing,23.5299993,90.7615,0.3329999999999984,,N1LRP044,N102_46,23.91968666615543
N1,N1_91,link,Km post Missing,23.5304438,90.7713049,1.0,,N1LRP045,N102_45,23.000492050262064
N1,N1_92,bridge,SARKAR BARI CULVERT,23.5307655282208,90.7800797251533,0.8950000000000031,C,N1LRP046a,N102_45,22.18747353345162
N1,N1_93,link,Km post Missing,23.5308049,90.7811104,0.10499999999999687,,N1LRP046,N102_45,22.092312386862837
N1,N1_94,link,Km post Missing,23.531166,90.7907219,1.0,,N1LRP047,N102_45,21.209752422222056
N1,N1_95,bridge,AMIRABATH SLAB CULVERT,23.5308683409424,90.7918075171727,0.6020000000000039,C,N1LRP047a,N102_44,21.12781055600548
N1,N1_96,link,Km post Missing,23.5308604,90.8002222,0.39799999999999613,,N1LRP048,N102_44,20.371758128837577
N1,N1_97,link,Km post Missing,23.5316382,90.8099167,1.0,,N1LRP049,N102_44,19.46739621308773
N1,N1_98,bridge,Ginlatoly bridge,23.5318234765,90.8110155135,0.11500000000000199,A,N1LRP049a,N102_44,19.36003382741855
N1,N1_99,link,Km post Missing,23.5332493,90.8194716,0.884999999999998,,N1LRP050,N102_44,18.53641596880467
N1,N1_100,link,Km post Missing,23.5344997,90.8287216,1.0,,N1LRP051,N102_44,17.65953487721193
N1,N1_101,bridge,RAIPUR BOX CULVERT,23.5329743291,90.8309774761999,0.2890000000000015,A,N1LRP051a,N102_44,17.55670797494019
N1,N1_102,link,Km post Missing,23.5292216,90.8365274,0.7109999999999985,,N1LRP052,N102_43,17.310546400648356
N1,N1_103,link,Km post Missing,23.523166,90.8438886,1.0,,N1LRP053,N102_43,17.09119149922054
N1,N1_104,bridge,AITAL BANGA BOX CULVERT,23.5229166652,90.8442186132,0.044000000000004036,C,N1LRP053a,N102_43,17.08119045780195
N1,N1_105,link,Km post Missing,23.5174993,90.8513889,0.955999999999996,,N1LRP054,N102_43,16.890202089024644
N1,N1_106,link,Km post Missing,23.5170827,90.8607778,1.0,,N1LRP055,N102_43,16.205042484757954
N1,N1_107,link,Km post Missing,23.5135833,90.8697771,1.0,,N1LRP056,N102_43,15.82171177141603
N1,N1_108,bridge,Illiot bazar Bridge,23.510087758207,90.8757204035353,0.7370000000000019,C,N1LRP056a,N102_37,15.653489244499529
N1,N1_109,link,Km post Missing,23.5088056,90.8778604,0.2629999999999981,,N1LRP057,N102_37,15.578098120611045
N1,N1_110,link,Km post Missing,23.506,90.8869163,1.0,,N1LRP058,N102_36,15.092556560330307
N1,N1_111,link,Km post Missing,23.5056389,90.8966108,1.0,,N1LRP059,N102_36,14.396778357903806
N1,N1_112,bridge,KHAT GHOR BOX CULVERT,23.5060024341,90.9021745389,0.5690000000000026,B,N1LRP059a,N102_36,13.96777053415677
N1,N1_113,link,Km post Missing,23.5062778,90.9063889,0.4309999999999974,,N1LRP060,N102_36,13.64960247368737
N1,N1_114,link,Km post Missing,23.5057222,90.9160278,1.0,,N1LRP061,N102_36,13.047709070950619
N1,N1_115,bridge,BAKRA BOX CULVERT,23.5056131416,90.9214660218,0.5609999999999999,B,N1LRP061a,N102_35,12.700949228351753
N1,N1_116,link,Km post Missing,23.5055278,90.9257216,0.43900000000000006,,N1LRP062,N102_35,12.438729542402797
N1,N1_117,link,Km post Missing,23.5042778,90.9354163,1.0,,N1LRP063,N102_35,11.976711660407714
N1,N1_118,bridge,MATIA BAZER,23.5024077848,90.9432418928,0.8290000000000006,B,N1LRP064a,N102_34,11.731081470926437
N1,N1_119,link,Km post Missing,23.5020278,90.9448886,0.17099999999999937,,N1LRP064,N102_34,11.684245463070807
N1,N1_120,bridge,SONAPUR BOX CULVERT,23.5013551924,90.9473844088999,0.26899999999999835,A,N1LRP064c,N102_34,11.627295238390714
N1,N1_121,link,Km post Missing,23.4995274,90.9541667,0.7310000000000088,,N1LRP065,N102_34,11.502022383742442
N1,N1_122,link,Km post Missing,23.4986386,90.9651111,1.0,,N1LRP066,N102_33,11.164034086465048
N1,N1_123,link,Ctg 191 km,23.4972774,90.9674716,0.45699999999999363,,N1LRP067,N102_22,11.06771979464659
N1,N1_124,bridge,KARON KHAL SLAB CULVERT,23.495896314,90.9715772516,0.4519999999999982,B,N1LRP067a,N102_22,10.82653915592041
N1,N1_125,link,Km post Missing,23.4942219,90.9765549,0.5480000000000018,,N1LRP068,N102_22,10.552013194155434
N1,N1_126,link,Km post Missing,23.4942497,90.985833,1.0,,N1LRP069,N102_22,9.850694257619011
N1,N1_127,bridge,MILL GHAT BOX CULVERT,23.4932728146,90.9887200416,0.31400000000000716,A,N1LRP068a,N102_22,9.719301085501899
N1,N1_128,link,Km post Missing,23.4911386,90.9950274,0.6859999999999928,,N1LRP070,N102_22,9.462125408935519
N1,N1_129,link,Ctg 188 km,23.4896108,91.0043056,0.9830000000000041,,N1LRP071,N102_22,9.01699015440511
N1,N1_130,link,"Ctg 188 km,Comilla 20 km",23.4893052,91.0112778,0.7339999999999947,,N1LRP072,N102_22,8.656957261963186
N1,N1_131,link,Ctg 187 km,23.488333,91.0140833,0.3119999999999976,,N1LRP073,N102_12,8.597761184187364
N1,N1_132,bridge,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,23.4868805937254,91.017566692647,0.40100000000001046,C,N1LRP072a,N102_11,8.38607580805627
N1,N1_133,link,Km post missing,23.4846386,91.0229438,0.6189999999999998,,N1LRP074,N102_11,8.051028698737893
N1,N1_134,link,Km post missing,23.4827771,91.0321382,1.0,,N1LRP075,N102_10,7.341582671263951
N1,N1_135,link,Ctg 184 km,23.4814716,91.0419719,1.0539999999999878,,N1LRP076,N102_10,6.586272117735576
N1,N1_136,bridge,CORI PAI BOX CULVERT,23.4817873233065,91.0463348850746,0.45000000000000284,B,N1LRP075a,N102_10,6.211901570598487
N1,N1_137,link,Km post missing,23.4821382,91.0516944,0.5499999999999972,,N1LRP077,N102_9,5.733102609637907
N1,N1_138,bridge,COREPAI BOX CULVERT,23.4817498298684,91.0563549686842,0.4830000000000041,B,N1LRP076a,N102_4,5.28600971580858
N1,N1_139,link,Km post missing,23.4815549,91.0613611,0.5169999999999959,,N1LRP078,N102_4,4.799851484005363
N1,N1_140,bridge,NIMSHAR SLAB CULVERT,23.480613086,91.0674097692,0.652000000000001,A,N1LRP077a,N102_4,4.246680106390135
N1,N1_141,link,Km post missing,23.4801104,91.0706382,0.347999999999999,,N1LRP079,N102_4,3.9602701614029896
N1,N1_142,link,Km post missing,23.4770271,91.0794716,1.0,,N1LRP080,N102_4,3.3261014784607994
N1,N1_143,bridge,KABILA DUBARCHAR SLAB CULVERT,23.4776722851,91.0847406393,0.5530000000000115,C,N1LRP079a,N102_4,2.850743016630945
N1,N1_144,link,Km post missing,23.4781938,91.0889997,0.4469999999999885,,N1LRP081,N102_4,2.4865528857405113
N1,N1_145,link,Km post missing,23.4775549,91.0986663,1.0,,N1LRP082,N102_2,1.8077864368905965
N1,N1_146,link,Km post missing,23.4779993,91.1055278,1.0,,N1LRP083,N102_1,1.2483226002280088
N1,N1_147,bridge,NAZIRA BOX CULVERT,23.4781159049382,91.1070332074074,0.12000000000000455,B,N1LRP081a,N102_0,1.1422278625562168
N1,N1_148,link,Km post missing,23.4789716,91.1179993,0.8799999999999955,,N1LRP084,N102_0,0.019836800955481286
N1,N1_149,bridge,TIPRA BAZAR BOX CULVERT,23.4794083880733,91.1238920825688,0.6080000000000041,A,N1LRP083a,N102_0,0.5831853894893437
N1,N1_150,link,Km post missing,23.4800827,91.1276382,0.3919999999999959,,N1LRP085,N102_0,0.9711092222530131
N1,N1_151,bridge,AMTOLI SLAB CULVERT,23.479544924,91.129047144,0.1600000000000108,A,N1LRP083b,N102_0,1.1087502535412426
N1,N1_152,link,Km post missing,23.4767216,91.1364441,0.8399999999999892,,N1LRP086,N102_0,1.8780791831241603
N1,N1_153,link,Km post missing,23.4682216,91.1394441,1.0,,N1LRP087,N102_0,2.4751527110728357
N1,N1_154,link,Km post missing,23.4595833,91.1421386,1.0,,N1LRP088,N102_0,3.2576900471437584
N1,N1_155,link,Km post missing,23.4513056,91.1460552,1.0,,N1LRP089,N102_0,4.188057351921546
N1,N1_156,bridge,DHANPUR RCC GIDER BRIDGE,23.4436339598272,91.1493668151188,0.8840000000000003,A,N1LRP088a,N102_0,5.054754545715127
N1,N1_157,link,Km post missing,23.4425274,91.1497774,0.11599999999999966,,N1LRP090,N102_0,5.176951829343436
N1,N1_158,link,Ctg 170 km,23.4373886,91.1521944,0.6840000000000117,,N1LRP091,N102_0,5.779988730654173
N1,N1_159,link,Km post missing,23.4288882,91.1553889,1.0,,N1LRP092,N102_0,6.7386891826104
N1,N1_160,link,Ctg 168 km,23.4236938,91.1626944,0.9799999999999898,,N1LRP093,N102_0,7.641201536131231
N1,N1_161,bridge,Paduar Bazar Bridge,23.4212487704918,91.1678943372365,0.5990000000000038,C,N1LRP092a,N102_0,8.179356320816234
N1,N1_162,link,Km post missing,23.4195271,91.171416,0.40099999999999625,,N1LRP094,N102_0,8.553844997820274
N1,N1_163,link,"Ctg 66 km,Feni 52 km",23.4149444,91.1801382,0.6280000000000001,,N1LRP095,N102_0,9.519404567879029
N1,N1_164,link,Km post missing,23.4125,91.1893886,1.0,,N1LRP096,N102_0,10.362479893280426
N1,N1_165,bridge,Mostapur Bridge,23.4119324230158,91.1939029849206,0.4789999999999992,C,N1LRP094a,N102_0,10.734051608933319
N1,N1_166,link,Ctg 164 km,23.4113056,91.1988886,0.5290000000000106,,N1LRP097,N102_0,11.152543639003937
N1,N1_167,link,Ctg 163 km,23.4100833,91.2087778,1.027000000000001,,N1LRP098,N102_0,12.002969435773416
N1,N1_168,link,Ctg 162 km,23.4048056,91.2165278,1.016999999999996,,N1LRP099,N102_0,12.986436553976683
N1,N1_169,link,Km post missing,23.398213447804338,91.22288776581436,1.0,,N1LRP100,N102_0,13.95419037731824
N1,N1_170,bridge,RAZAPARA RCC GIDER BRIDGE,23.3976518197887,91.2234221346859,0.08400000000000318,A,N1LRP098a,N102_0,14.036129958709763
N1,N1_171,link,Km post missing,23.3915274,91.2292493,0.9159999999999968,,N1LRP101,N102_0,14.930370475412893
N1,N1_172,link,Km post missing,23.3843886,91.2351108,1.0,,N1LRP102,N102_0,15.902801425730352
N1,N1_173,link,Km post missing,23.377166,91.2409163,1.0,,N1LRP103,N102_0,16.87978428308479
N1,N1_174,bridge,Suagazi Bridge.,23.3713647755,91.2450175414999,0.7650000000000006,A,N1LRP101a,N102_0,17.62410370590172
N1,N1_175,link,Km post missing,23.3695827,91.2462774,0.23499999999999943,,N1LRP104,N102_0,17.85317448300249
N1,N1_176,link,"Ctg 156 km,Feni 43 km",23.3615278,91.2515556,1.0750000000000028,,N1LRP105,N102_0,18.860114926779687
N1,N1_177,link,Km post missing,23.3536944,91.2561389,1.0,,N1LRP106,N102_0,19.803285097400504
N1,N1_178,bridge,LAL BAG RCC GIDER BRIDGE,23.3521636774381,91.2572910746724,0.2079999999999984,C,N1LRP104a,N102_0,20.006670275831336
N1,N1_179,link,Km post missing,23.3463608,91.2616944,0.7920000000000016,,N1LRP107,N102_0,20.780884297465278
N1,N1_180,bridge,CHANSIRI BOXCUIVERT,23.342671472,91.264485636,0.5049999999999955,A,N1LRP105a,N102_0,21.272991143329588
N1,N1_181,link,Km post missing,23.3390552,91.2672216,0.49500000000000455,,N1LRP108,N102_0,21.75568709736644
N1,N1_182,link,Km post missing,23.3321938,91.2734716,1.0,,N1LRP109,N102_0,22.74750696809992
N1,N1_183,bridge,MIABAZAR BOX CULVERT,23.3301462324,91.2748792824,0.2710000000000008,A,N1LRP107a,N102_0,23.011076972848368
N1,N1_184,link,Km post missing,23.3246382,91.278666,0.7289999999999992,,N1LRP110,N102_0,23.720733389077658
N1,N1_185,bridge,NOYA BAZER BOX CULVERT,23.3180696869138,91.2830867321701,0.8769999999999953,A,N1LRP109a,N102_0,24.561511801992648
N1,N1_186,link,Km post missing,23.3171382,91.2836941,0.12300000000000466,,N1LRP111,N102_0,24.67947975703544
N1,N1_187,link,Km post missing,23.3086944,91.2864163,1.0,,N1LRP112,N102_0,25.558354951979727
N1,N1_188,bridge,DOLL BARI CULVERT,23.3083612731261,91.2865787034735,0.04099999999999682,B,N1LRP110a,N102_0,25.59694667482329
N1,N1_189,bridge,DHARMA PUR SLAB CULVERT,23.3034306450331,91.2889770397351,0.6080000000000041,B,N1LRP110c,N102_0,26.168487453914192
N1,N1_190,link,Km post missing,23.3006111,91.290333,0.3509999999999991,,N1LRP113,N102_0,26.494848686293146
N1,N1_191,bridge,LALGORE BEZER CULVERT,23.2979675271676,91.2910141369942,0.30299999999999727,A,N1LRP111a,N102_0,26.761478022517856
N1,N1_192,link,Km post missing,23.2919163,91.2922219,0.6970000000000027,,N1LRP114,N102_0,27.351277137003578
N1,N1_193,bridge,SUPUYA BOX CULVERT,23.2897066386454,91.2929584711155,0.2609999999999957,A,N1LRP112a,N102_0,27.58722831173604
N1,N1_194,link,Km post missing,23.283583,91.2952219,0.7390000000000043,,N1LRP115,N102_0,28.257536804405216
N1,N1_195,bridge,BOWCHI BAZAR CULVERT,23.2821949258397,91.2966655096899,0.22099999999998943,B,N1LRP113a,N102_0,28.470484514847637
N1,N1_196,link,Km post missing,23.2768882,91.3011944,0.7790000000000106,,N1LRP116,N102_0,29.219973550060217
N1,N1_197,bridge,AMAN GONG SLAB CULVERT,23.27301895,91.3029661882,0.4689999999999941,B,N1LRP114a,N102_0,29.66692049769239
N1,N1_198,link,Km post missing,23.2686382,91.3049722,0.5310000000000059,,N1LRP117,N104_6,29.588946398206822
N1,N1_199,bridge,RANGAMATIA (1) BOX CULVERT,23.2618360940594,91.3070217386138,0.804000000000002,B,N1LRP116a,N104_6,28.804838517023384
N1,N1_200,link,Km post missing,23.2601111,91.3072778,0.19599999999999795,,N1LRP118,N104_6,28.61207421258765
N1,N1_201,bridge,RANGOWATIA 2 CULVERT,23.25941665,91.3073611,0.07799999999998875,B,N1LRP116b,N104_6,28.53493152521974
N1,N1_202,bridge,NOWA PARA BOX CULVERT,23.2576429774881,91.3076156494075,0.19900000000001228,B,N1LRP116c,N104_6,28.336947620650214
N1,N1_203,bridge,HARISHARDE CULVERT,23.2527463398104,91.3083926405213,0.5489999999999924,B,N1LRP117a,N104_6,27.788701013793645
N1,N1_204,link,Km post missing,23.2511944,91.3086389,0.1740000000000066,,N1LRP119,N104_6,27.61495612485944
N1,N1_205,bridge,SONAGATI BOX CULVERT,23.2443915125925,91.3114032292592,0.8389999999999986,B,N1LRP118a,N104_6,26.81411203474064
N1,N1_206,link,Km post missing,23.243083,91.3119167,0.16100000000000136,,N1LRP120,N104_6,26.660536729412275
N1,N1_207,bridge,BALUJURI BOX CULVERT,23.2429040619631,91.3119739539877,0.021000000000000796,B,N1LRP118b,N104_6,26.639834031612583
N1,N1_208,bridge,BALUZURI 2 CULVERT,23.2397920309669,91.3125740860465,0.3579999999999899,A,N1LRP118d,N104_6,26.28887012373432
N1,N1_209,bridge,KALIR BAZAR BOX CULVERT,23.2360759516523,91.3129901976744,0.42200000000001125,A,N1LRP119a,N104_6,25.876763327219454
N1,N1_210,link,Km post missing,23.2343052,91.3131667,0.19899999999999807,,N1LRP121,N104_6,25.68093523261758
N1,N1_211,bridge,KALIA BAZER BOC CULVERT,23.2289195919642,91.3134220678571,0.6079999999999899,B,N1LRP119b,N104_6,25.092197499727977
N1,N1_212,bridge,CHAUDDAGARAM BOX CULVERT,23.2259184472573,91.3135697177215,0.3340000000000032,B,N1LRP120a,N104_6,24.764215532108356
N1,N1_213,link,Km post missing,23.2253882,91.3135833,0.058000000000006935,,N1LRP122,N104_6,24.706585120727034
